,Time,Theta x,Theta y
-1.0,-1.0,-1.0,-1.0
0.0,0.0,1.0,0.0
1.2054095268249512,1.2054095268249512,205.0,-0.49
1.4110400676727295,1.4110400676727295,411.0,-0.88
1.6156983375549316,1.6156983375549316,616.0,-1.11
1.820946455001831,1.820946455001831,820.0,-1.24
2.0252411365509033,2.0252411365509033,1026.0,-1.3
2.230741024017334,2.230741024017334,1230.0,-1.36
2.434569835662842,2.434569835662842,1435.0,-1.43
2.640878915786743,2.640878915786743,1640.0,-1.47
2.8447163105010986,2.8447163105010986,1844.0,-1.49
