,Theta x,Theta y
-1.0,-1.0,-1.0
0.0,0.0,0.0
1.021031141281128,-0.04,-1.29
1.2351913452148438,-0.1,-2.12
1.4363014698028564,-0.06,-2.67
1.6453380584716797,-0.08,-3.09
1.8558762073516846,-0.05,-3.33
2.059427261352539,-0.07,-3.5
2.2854673862457275,-0.06,-3.63
2.4809799194335938,-0.07,-3.65
2.68412184715271,-0.05,-3.69
2.8942623138427734,-0.07,-3.7
3.1142141819000244,-0.06,-3.74
3.310148000717163,-0.04,-3.76
3.5165934562683105,-0.06,-3.78
3.7383201122283936,-0.07,-3.75
3.930677652359009,-0.12,-3.79
4.141191244125366,-0.11,-3.82
4.3517491817474365,-0.08,-3.81
4.557915687561035,-0.05,-3.81
4.766611337661743,-0.06,-3.82
4.987857103347778,-0.05,-3.81
5.1806488037109375,-0.04,-3.82
5.389390230178833,-0.05,-3.8
5.604387283325195,-0.03,-3.83
5.807568311691284,-0.01,-3.83
6.01202392578125,0.0,-3.82
6.228530168533325,0.01,-3.85
6.430949449539185,-0.03,-3.83
6.639371156692505,-0.01,-3.83
6.851996660232544,-0.01,-3.87
7.055743932723999,-0.02,-3.89
7.2636823654174805,-0.04,-3.84
7.469959735870361,-0.08,-3.8
7.680669784545898,-0.04,-3.81
7.889078140258789,-0.05,-3.83
8.102626085281372,-0.07,-3.87
8.304191827774048,-0.07,-3.81
8.521021842956543,-0.05,-3.78
8.732856512069702,-0.05,-3.83
8.930605411529541,-0.02,-3.77
9.136732339859009,-0.0,-3.76
9.347575426101685,-0.02,-3.79
9.554956912994385,0.04,-3.85
9.75955057144165,-0.01,-3.81
9.98301100730896,0.01,-3.78
10.181384801864624,-0.01,-3.82
10.387202978134155,-0.09,-3.83
10.593939065933228,-0.08,-3.81
10.815837144851685,-0.06,-3.82
